Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
1C,7,1833.9909,1829.2534,1820.8305,1816.159,1812.8331,1805.2839,1804.7776,1816.9909,1833.354,1863.9575,1893.1019
Co,3,395.708,390.9798,385.065,389.0964,385.2854,390.3441,393.4051,396.3501,401.3109,407.9783,417.6946
Co,4,360.5773,359.6534,358.3322,357.9605,359.5181,363.8725,365.9913,368.367,375.5434,385.2314,400.0248
Co,5,303.5528,301.3347,300.713,299.3668,298.8606,301.653,304.5486,305.8341,309.7423,315.3974,321.1342
Co,1,350.3332,351.8988,352.7746,350.5303,350.6472,353.8357,356.1467,359.9491,364.2272,371.9456,380.0019
Co,5,381.0008,376.183,372.9866,375.2281,370.2687,375.8141,381.6007,385.8522,390.2964,398.7194,410.8563
Co,4,260.9861,259.678,259.2035,258.0013,258.4108,259.4311,260.6653,261.1922,263.6537,267.1928,274.4964
Co,5,333.8069,332.1254,327.1487,326.414,323.5198,327.2424,330.6268,332.6932,335.8113,345.2945,354.5927
Co,5,371.0156,367.176,365.2215,361.6914,359.1716,363.7142,365.6515,368.206,374.0844,380.1994,389.7618
Co,5,370.9254,360.704,360.4221,359.9265,356.3671,361.4027,364.9097,365.3175,369.1308,374.9247,381.5617
Co,5,370.3741,367.0856,364.3745,361.302,358.861,360.787,360.8392,361.2234,366.2935,374.4981,383.8166
Co,2,285.407,282.9751,285.0709,286.3029,288.3299,292.5917,296.935,300.2979,305.523,313.6705,320.6985
Co,4,327.9704,327.3873,327.7872,326.3277,329.6864,333.838,337.7452,339.7843,345.2444,353.8303,367.9969
Co,5,292.3108,291.7194,291.7994,290.8862,290.2924,294.5364,298.492,299.9089,303.6787,310.7778,318.424
Co,5,377.8486,374.2852,372.1079,367.7623,366.9463,370.012,372.1207,373.2703,377.1222,383.801,394.607
Co,2,331.4186,330.7325,330.9948,333.1354,333.416,337.0551,341.7812,345.821,350.3573,356.1311,366.4283
Co,5,377.6036,366.3446,366.177,365.5646,364.319,369.2428,371.5724,373.6819,377.9992,383.7014,393.3606
Co,5,373.7677,370.4259,368.3295,366.6251,365.8612,369.6305,373.9745,378.6355,385.2061,392.8473,404.3243
Co,4,350.818,348.3125,348.1511,346.3616,346.5031,351.7035,357.0483,362.2004,363.7414,376.3271,384.9955
Co,4,278.4862,276.6371,276.7379,275.8789,280.5205,284.2354,286.1132,288.8087,291.7306,297.2965,303.9864
Co,5,381.0733,382.3898,374.9583,374.9846,370.61,372.008,373.5905,375.4125,381.2444,388.7932,397.9309
