Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
1C,1,180.4841,184.6251,184.8678,183.3791,190.3312,192.9214,193.8951,193.8739,199.7053,202.7525,216.2008
1C,6,222.4358,225.4252,220.463,229.1189,220.3952,219.693,228.16,231.2419,231.1278,241.0342,251.9467
1C,5,158.4281,158.6394,157.4899,156.2865,151.2096,151.7953,154.8362,160.8334,166.3856,172.0136,195.0535
1C,1,182.1694,185.2759,186.9483,189.6439,188.5474,191.76,197.7145,206.4949,217.4041,221.5442,238.0376
1C,6,216.2388,217.7242,222.8053,222.038,217.3658,205.8781,212.0393,212.0694,209.4569,220.4938,239.7962
1C,8,205.8524,206.6517,212.0698,204.9725,209.5631,206.1754,208.535,203.5683,211.3374,222.8984,244.0682
1C,2,145.6468,145.2481,145.7719,146.8842,150.8333,150.7428,153.195,150.5015,159.4738,167.4713,183.912
1C,3,174.1732,176.6363,173.6549,179.7153,181.7515,184.2932,191.0427,189.489,198.7932,206.3962,218.1898
1C,6,176.8239,172.9699,169.9187,170.486,171.1278,168.3629,179.6935,184.2793,191.1871,200.4665,208.8047
1C,4,211.7542,208.7248,205.9069,204.8892,208.1536,211.8414,216.7915,225.7016,226.2219,235.8011,262.6261
1C,1,186.5268,189.2006,188.602,194.5784,198.8522,197.5041,190.2603,190.8155,205.4817,216.8529,245.0348
1C,3,188.5314,189.0504,185.0811,189.6709,190.2609,193.2284,199.6946,196.2736,206.0062,216.3757,239.25
1C,6,227.0046,233.9908,232.5594,230.1536,225.3433,215.6144,227.2104,225.0473,224.2856,229.6589,256.9252
1C,1,133.8202,136.7122,141.4593,148.4661,149.9071,150.8734,154.6488,156.0123,169.2954,177.8786,190.9825
1C,5,183.2598,179.1965,173.9301,165.71,161.243,169.1933,172.5866,175.542,180.4764,194.0586,201.065
Co,1,92.657,93.4233,92.7139,94.0408,93.4415,95.2239,97.7537,100.2275,93.2532,95.793,93.6786
Co,4,106.7925,105.8219,104.4294,104.1326,104.4253,106.5997,109.4709,109.1223,109.3513,110.8868,113.7395
Co,2,49.9693,49.3232,49.7782,51.6697,53.1318,54.403,56.0115,56.4595,55.0128,55.4484,56.0249
Co,3,100.9674,99.2582,96.8209,97.8784,97.8845,96.861,99.9327,103.3967,105.4672,111.7175,113.6594
Co,1,99.1178,99.2058,99.4761,102.6077,102.7923,103.3228,104.0551,106.6503,110.6126,113.3135,112.3611
Co,4,102.7136,101.0094,100.6764,100.0513,101.0931,103.3818,105.4555,105.5767,107.1642,107.2037,106.9401
Co,5,95.3869,95.1242,92.9714,92.4519,90.6101,91.6146,92.9471,93.4569,97.0378,97.25,99.1541
Co,4,97.3075,94.9691,94.2386,93.5114,94.7225,94.3707,94.6347,94.4124,95.9777,97.2641,97.2746
Co,6,106.7621,103.0522,99.3535,100.0739,98.3289,96.9351,97.6703,99.3513,102.6891,102.1447,102.3409
Co,2,101.8967,101.1606,101.6655,101.5404,101.7839,101.6782,106.223,106.8394,105.7936,105.5009,106.9443
Co,10,106.3273,101.55,98.313,94.9643,94.1263,91.96,92.2679,93.2517,91.6276,89.3263,89.5444
Co,4,102.3957,102.0835,103.1765,100.6803,103.5345,104.3544,106.4079,107.6531,105.6136,105.2846,106.2139
Co,4,96.0123,94.5892,93.6515,92.5108,93.2544,95.8777,95.5848,97.3316,98.6583,99.0988,99.6235
Co,6,90.3065,88.1364,86.98,86.7192,88.1128,85.9245,88.3538,90.756,93.27,91.4828,90.755
Co,2,100.1675,99.1068,100.3661,100.3944,103.6626,99.229,100.4424,104.267,109.4932,109.8967,111.226
Co,11,98.4995,98.1061,97.4399,97.6283,95.6808,95.8138,99.0926,99.7244,98.6163,97.8167,95.6377
Co,6,104.9104,102.6667,99.4449,98.1971,95.7633,94.558,94.8888,96.6459,97.5048,98.188,97.5499
Co,2,108.7507,105.9033,108.1283,106.3207,107.779,107.8418,107.911,108.5214,107.5095,109.2419,111.7404
Co,1,99.477,101.1113,100.4466,100.791,102.0746,104.4252,106.4386,109.8424,112.9222,113.7958,114.3784
Co,11,109.102,106.1756,103.4227,104.865,104.2223,104.7619,106.9615,108.9239,109.825,109.4254,103.3622
Co,3,48.806,48.7572,47.4925,48.4002,50.879,50.859,52.2579,52.8267,52.057,52.4213,52.3012
Co,5,91.6649,90.2856,89.4086,88.6338,88.2831,89.4019,91.4109,92.178,95.7278,97.9505,100.6805
Co,3,105.2691,99.9042,93.9262,94.0584,94.277,94.7703,96.4483,98.2251,98.1934,99.7823,100.93
Co,2,107.663,104.1965,106.9749,105.3031,105.8645,114.6752,108.2964,107.19,109.4836,109.7651,110.6374
Co,9,101.5167,100.8355,98.4242,96.2255,96.9325,97.0723,95.7618,93.8096,92.9007,94.1751,96.6988
Co,9,111.859,107.3315,103.5596,99.5645,96.9616,96.9412,96.2057,96.6913,95.4286,95.8046,98.9447
Co,2,61.8302,60.4929,61.5343,62.0895,62.4014,61.8908,60.9027,60.5047,61.2171,62.7511,64.1468
Co,2,103.9067,103.4691,104.6306,104.353,104.7104,107.1787,108.9885,108.4648,110.1465,111.5379,114.3974
Co,5,107.6068,105.331,102.8715,102.8966,101.8303,104.278,107.2021,112.2314,112.3875,112.0079,111.167
Co,5,88.4932,87.1091,84.2824,83.8273,82.7526,84.0491,86.5954,89.8555,91.2742,90.6874,92.2014
Co,5,103.0255,101.3215,100.1737,97.8967,96.006,96.3747,99.2674,101.5275,104.4755,107.6896,107.3265
Co,5,90.1616,91.4146,91.6502,89.7363,87.8614,90.0727,90.0768,93.9281,95.3736,99.9021,101.1009
Co,2,54.3695,54.1885,54.2681,57.7041,57.4919,57.6845,58.8671,60.2375,61.0724,61.1652,61.8972
Co,2,99.3223,98.5396,98.5761,100.1897,105.0087,105.1511,107.8887,108.9267,112.0735,110.9194,110.6417
Co,2,99.7408,97.4103,98.6659,99.3791,102.8938,101.4035,105.1934,105.2807,105.2166,107.7525,106.205
