Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
Co,6,433.3458,435.9235,436.508,437.0421,432.7959,417.1582,419.8206,423.9979,419.2514,424.6776,444.4684
Co,1,365.5621,372.4368,368.8542,376.059,372.3983,378.0395,385.3,374.0317,382.1175,381.517,400.1563
Co,11,379.2934,380.0237,388.9577,373.1733,370.1058,381.5085,373.8802,364.7203,346.7113,347.7562,345.8163
Co,7,417.0561,408.7575,405.7958,395.295,392.413,383.1139,380.8022,383.1078,389.1379,396.4222,416.0389
Co,4,300.0936,299.8552,300.4862,299.1307,301.065,303.3234,304.8293,304.2631,309.6125,309.6963,330.1647
Co,9,374.5228,363.7221,358.145,354.3817,348.1293,348.3088,349.4142,352.6166,346.7917,358.2801,368.9914
Co,5,302.4193,295.6825,290.659,287.2859,280.8446,292.0097,295.084,290.094,293.34,294.4845,305.0808
Co,6,407.5688,411.7384,408.1678,395.8074,385.2258,381.512,383.4277,387.2938,383.9794,389.9212,407.8699
Co,6,343.9657,352.5298,350.7644,349.5461,343.212,341.4785,345.7827,345.1626,343.1477,346.3308,367.241
Co,7,369.9181,374.417,370.5635,362.4933,359.3109,353.9069,347.4513,350.7527,347.7536,358.2073,372.0529
Co,9,346.169,347.217,348.3333,343.7629,344.1734,347.2302,345.2172,342.0081,340.3381,348.2298,369.0575
Co,6,368.6471,370.1534,367.7412,366.2734,366.33,362.2686,379.6352,369.879,372.0444,374.1749,383.9863
Co,9,442.7623,434.9049,425.2826,425.0171,406.8949,414.6367,406.8269,405.9884,404.7625,413.3414,425.0769
Co,9,381.819,378.5199,375.6821,372.4615,369.7526,370.6508,369.3314,371.9583,369.2583,376.3279,396.2147
Co,8,412.4586,411.9755,412.3607,407.2386,401.9151,383.6152,387.1551,378.8312,383.4829,386.9658,394.121
Co,9,400.0831,409.0401,407.207,403.8576,399.6744,380.1438,381.0918,373.094,367.0309,374.7724,388.8522
Co,5,276.4957,272.0535,265.7059,263.9685,253.2376,258.2384,261.4829,261.1828,253.5786,264.57,281.6074
Co,8,421.0346,423.9723,426.6294,422.2899,407.8547,398.949,397.0853,396.1741,397.57,398.6931,409.6275
Co,9,418.6004,412.9866,401.1997,398.4397,386.0482,378.3698,378.5913,375.4304,373.9755,374.3322,379.8838
Co,5,350.8019,340.2148,349.2472,332.3289,324.5468,331.3973,334.4474,334.6072,332.314,342.5933,349.9244
Co,9,376.741,366.4562,353.4822,347.3386,342.6151,334.1294,336.1537,335.4602,333.0053,336.8421,348.0662
Co,4,356.7692,357.9296,354.6562,349.5214,351.9766,354.0814,357.6538,358.5989,352.3981,365.7935,372.6917
Co,8,331.2504,320.0602,318.7725,309.0508,306.6645,301.3431,299.1152,296.0672,298.064,301.8654,314.7008
Co,9,402.4858,400.4846,408.1827,405.8655,403.1336,396.3721,387.7416,383.2003,380.6344,388.9287,396.5893
Co,9,359.3212,359.0816,353.2711,344.3969,351.4995,338.4275,338.7968,339.4399,337.8493,339.845,354.03
Co,9,407.4018,394.9305,382.4003,387.7565,364.1262,357.1528,355.2619,356.926,347.8653,352.1962,369.3839
Co,8,350.9805,335.3197,326.352,316.3101,314.2416,308.1651,306.561,305.4566,307.908,314.1648,323.1134
Co,6,403.4103,408.2594,412.1874,408.1431,411.4062,402.2954,409.9909,407.3749,404.8744,404.9891,418.2625
Co,9,343.1889,343.5586,335.513,331.7841,312.4431,309.3441,308.8219,310.4264,308.4006,312.7407,327.2344
Co,8,394.9001,387.5118,381.4684,373.9725,369.5441,356.6551,358.7152,354.2924,356.7265,358.3678,375.6874
Co,8,369.639,363.3664,363.326,363.9321,353.9548,348.9215,348.0247,346.0324,347.6696,357.0131,380.7704
Co,9,412.0422,407.1101,398.4117,394.9029,387.2303,382.7941,381.9328,380.8577,379.8169,382.6699,400.6572
Co,8,374.1593,382.7906,384.673,387.3832,383.7987,373.4765,361.0094,360.9953,363.5927,366.9216,376.8619
Co,9,384.1443,382.4347,387.7722,388.8824,376.4006,377.5121,373.553,371.016,368.6128,374.5842,383.8721
Co,5,360.1978,359.7108,353.3909,350.7037,348.6227,352.2236,355.6408,360.4589,363.4183,371.7191,385.8378
Co,9,294.7199,301.188,298.8866,308.0542,304.7444,294.0167,296.091,293.1687,292.0795,296.6422,310.9244
Co,9,407.0735,408.2012,396.0835,399.8141,399.6492,390.8994,399.3137,396.5689,388.5427,396.2043,408.1975
Co,5,384.2673,376.3667,371.2132,366.6358,365.4094,367.1225,371.2944,366.169,369.0155,369.217,379.3913
Co,1,343.2004,351.0098,346.5964,350.8687,350.8115,350.127,350.6559,349.5613,344.961,351.3614,362.3053
Co,8,344.7975,353.201,352.6642,346.9242,342.5065,337.6001,334.5948,332.96,337.1726,340.8439,352.9174
Co,9,351.765,347.4368,348.5264,343.0992,349.381,342.9243,345.4746,340.2173,334.2574,335.293,351.8877
Co,6,396.5375,403.931,399.4675,394.1413,394.0703,389.4453,397.4697,395.005,390.4748,398.8239,406.0636
Co,3,393.5943,385.4144,380.1509,384.935,389.3083,396.3678,398.0837,398.9415,394.485,398.867,412.2953
